start_date,end_date,the_group,state,condition_group,the_condition,age_group,covid_deaths,number_of_mentions
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrest",75-84,382,382
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrest",85+,570,571
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrest","All Ages",1494,1495
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia",0-24,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia",45-54,13,13
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia",55-64,50,53
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia",65-74,139,140
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia",75-84,234,243
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia",85+,411,420
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cardiac arrhythmia","All Ages",851,873
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Heart failure",45-54,11,11
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Heart failure",55-64,66,66
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Heart failure",65-74,153,153
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Heart failure",75-84,306,307
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Heart failure",85+,584,584
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Heart failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Heart failure","All Ages",1129,1130
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cerebrovascular diseases",45-54,13,13
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cerebrovascular diseases",55-64,36,37
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cerebrovascular diseases",65-74,84,85
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cerebrovascular diseases",75-84,130,132
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cerebrovascular diseases",85+,214,217
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cerebrovascular diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Cerebrovascular diseases","All Ages",490,498
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system",35-44,20,22
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system",45-54,45,55
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system",55-64,110,119
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system",65-74,204,222
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system",75-84,258,281
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system",85+,337,371
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Circulatory diseases","Other diseases of the circulatory system","All Ages",983,1079
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,35-44,14,14
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,45-54,70,70
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,55-64,183,183
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,65-74,284,284
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,75-84,283,283
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,85+,261,261
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,Sepsis,Sepsis,"All Ages",1103,1103
2020-01-01,2023-09-23,"By Total",Connecticut,"Malignant neoplasms","Malignant neoplasms",45-54,30,37
2020-01-01,2023-09-23,"By Total",Connecticut,"Malignant neoplasms","Malignant neoplasms",55-64,88,107
2020-01-01,2023-09-23,"By Total",Connecticut,"Malignant neoplasms","Malignant neoplasms",65-74,202,237
2020-01-01,2023-09-23,"By Total",Connecticut,"Malignant neoplasms","Malignant neoplasms",75-84,255,279
2020-01-01,2023-09-23,"By Total",Connecticut,"Malignant neoplasms","Malignant neoplasms",85+,217,237
2020-01-01,2023-09-23,"By Total",Connecticut,"Malignant neoplasms","Malignant neoplasms","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Malignant neoplasms","Malignant neoplasms","All Ages",806,911
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,35-44,31,31
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,45-54,64,65
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,55-64,152,152
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,65-74,267,268
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,75-84,343,346
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,85+,334,335
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,Diabetes,Diabetes,"All Ages",1199,1205
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,25-34,19,19
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,35-44,39,39
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,45-54,58,58
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,55-64,90,90
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,65-74,68,68
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,75-84,51,51
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,Obesity,Obesity,"All Ages",338,338
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease",0-24,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease",25-34,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease",35-44,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease",45-54,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease",65-74,16,16
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease",75-84,73,73
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease",85+,222,222
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Alzheimer disease","Alzheimer disease","All Ages",317,317
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia",0-24,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia",25-34,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia",35-44,0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia",55-64,25,25
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia",65-74,104,104
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia",75-84,391,392
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia",85+,1038,1040
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Vascular and unspecified dementia","Vascular and unspecified dementia","All Ages",1559,1562
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure",35-44,16,17
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure",45-54,63,65
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure",55-64,162,170
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure",65-74,230,241
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure",75-84,314,328
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure",85+,335,363
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Connecticut,"Renal failure","Renal failure","All Ages",1129,1193
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,0-24,29,29
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,25-34,77,77
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,35-44,178,178
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,45-54,451,451
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,55-64,1303,1303
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,65-74,2227,2227
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,75-84,3242,3242
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,85+,5065,5065
2020-01-01,2023-09-23,"By Total",Connecticut,COVID-19,COVID-19,"All Ages",12573,12573
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia",25-34,13,13
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia",35-44,32,32
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia",45-54,94,103
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia",55-64,222,235
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia",65-74,398,418
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia",75-84,460,485
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia",85+,353,362
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Influenza and pneumonia","All Ages",1576,1652
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Chronic lower respiratory diseases",45-54,10,10
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Chronic lower respiratory diseases",55-64,37,40
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Chronic lower respiratory diseases",65-74,89,92
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Chronic lower respiratory diseases",75-84,134,142
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Chronic lower respiratory diseases",85+,65,66
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Chronic lower respiratory diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Chronic lower respiratory diseases","All Ages",339,354
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Adult respiratory distress syndrome",45-54,20,20
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Adult respiratory distress syndrome",55-64,53,53
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Adult respiratory distress syndrome",65-74,62,62
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Adult respiratory distress syndrome",75-84,54,54
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Adult respiratory distress syndrome",85+,16,16
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Adult respiratory distress syndrome","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Adult respiratory distress syndrome","All Ages",215,215
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure",35-44,11,11
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure",45-54,49,49
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure",55-64,115,118
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure",65-74,209,214
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure",75-84,247,259
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure",85+,185,188
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory failure","All Ages",832,855
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory arrest",35-44,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Respiratory arrest","All Ages",23,23
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Other diseases of the respiratory system",45-54,11,11
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Other diseases of the respiratory system",55-64,34,35
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Other diseases of the respiratory system",65-74,57,59
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Other diseases of the respiratory system",75-84,82,86
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Other diseases of the respiratory system",85+,58,61
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Other diseases of the respiratory system","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Respiratory diseases","Other diseases of the respiratory system","All Ages",250,260
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Hypertensive diseases",45-54,16,16
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Hypertensive diseases",55-64,87,87
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Hypertensive diseases",65-74,157,157
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Hypertensive diseases",75-84,264,265
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Hypertensive diseases",85+,308,309
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Hypertensive diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Hypertensive diseases","All Ages",838,840
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease",0-24,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease",25-34,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease",55-64,25,25
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease",65-74,64,73
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease",75-84,126,134
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease",85+,120,126
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Ischemic heart disease","All Ages",343,366
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrest",45-54,14,14
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrest",55-64,21,21
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrest",65-74,22,22
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrest",75-84,38,38
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrest",85+,28,28
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrest","All Ages",133,133
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrhythmia",0-24,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrhythmia",55-64,19,20
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrhythmia",65-74,56,59
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrhythmia",75-84,123,128
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrhythmia",85+,122,126
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrhythmia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cardiac arrhythmia","All Ages",328,341
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure",0-24,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure",35-44,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure",55-64,21,21
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure",65-74,51,52
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure",75-84,108,108
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure",85+,127,127
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Heart failure","All Ages",315,316
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cerebrovascular diseases",35-44,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cerebrovascular diseases",55-64,16,17
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cerebrovascular diseases",65-74,38,38
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cerebrovascular diseases",75-84,80,81
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cerebrovascular diseases",85+,88,90
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cerebrovascular diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Cerebrovascular diseases","All Ages",234,239
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Other diseases of the circulatory system",45-54,18,19
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Other diseases of the circulatory system",55-64,31,37
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Other diseases of the circulatory system",65-74,69,74
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Other diseases of the circulatory system",75-84,87,95
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Other diseases of the circulatory system",85+,78,84
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Other diseases of the circulatory system","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Circulatory diseases","Other diseases of the circulatory system","All Ages",297,326
2020-01-01,2023-09-23,"By Total",Delaware,Sepsis,Sepsis,45-54,21,21
2020-01-01,2023-09-23,"By Total",Delaware,Sepsis,Sepsis,55-64,73,73
2020-01-01,2023-09-23,"By Total",Delaware,Sepsis,Sepsis,65-74,93,93
2020-01-01,2023-09-23,"By Total",Delaware,Sepsis,Sepsis,75-84,101,101
2020-01-01,2023-09-23,"By Total",Delaware,Sepsis,Sepsis,85+,48,48
2020-01-01,2023-09-23,"By Total",Delaware,Sepsis,Sepsis,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,Sepsis,Sepsis,"All Ages",346,347
2020-01-01,2023-09-23,"By Total",Delaware,"Malignant neoplasms","Malignant neoplasms",45-54,14,20
2020-01-01,2023-09-23,"By Total",Delaware,"Malignant neoplasms","Malignant neoplasms",55-64,45,55
2020-01-01,2023-09-23,"By Total",Delaware,"Malignant neoplasms","Malignant neoplasms",65-74,67,77
2020-01-01,2023-09-23,"By Total",Delaware,"Malignant neoplasms","Malignant neoplasms",75-84,80,102
2020-01-01,2023-09-23,"By Total",Delaware,"Malignant neoplasms","Malignant neoplasms",85+,59,68
2020-01-01,2023-09-23,"By Total",Delaware,"Malignant neoplasms","Malignant neoplasms","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Malignant neoplasms","Malignant neoplasms","All Ages",268,327
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,25-34,0,0
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,45-54,21,21
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,55-64,60,61
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,65-74,131,131
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,75-84,161,161
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,85+,98,99
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,Diabetes,Diabetes,"All Ages",482,484
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,35-44,13,13
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,45-54,29,29
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,55-64,47,47
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,65-74,81,81
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,75-84,38,38
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,85+,13,13
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,Obesity,Obesity,"All Ages",227,227
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease",0-24,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease",25-34,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease",35-44,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease",65-74,12,12
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease",75-84,54,54
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease",85+,124,125
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Alzheimer disease","Alzheimer disease","All Ages",192,193
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia",0-24,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia",25-34,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia",35-44,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia",45-54,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia",65-74,36,36
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia",75-84,162,162
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia",85+,279,279
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Vascular and unspecified dementia","Vascular and unspecified dementia","All Ages",484,484
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure",0-24,0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure",35-44,11,11
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure",45-54,31,32
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure",55-64,69,70
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure",65-74,108,109
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure",75-84,132,140
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure",85+,92,96
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,"Renal failure","Renal failure","All Ages",446,461
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,0-24,14,14
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,25-34,24,24
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,35-44,55,55
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,45-54,174,174
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,55-64,426,426
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,65-74,737,737
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,75-84,1010,1010
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,85+,1007,1007
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,"Not stated",0,0
2020-01-01,2023-09-23,"By Total",Delaware,COVID-19,COVID-19,"All Ages",3447,3447
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia",25-34,24,24
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia",35-44,58,58
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia",45-54,151,154
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia",55-64,314,316
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia",65-74,408,412
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia",75-84,310,315
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia",85+,289,291
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia","Not stated",0,0
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Influenza and pneumonia","All Ages",1561,1578
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Chronic lower respiratory diseases",0-24,0,0
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Chronic lower respiratory diseases",45-54,24,25
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Chronic lower respiratory diseases",55-64,55,58
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Chronic lower respiratory diseases",65-74,86,89
2020-01-01,2023-09-23,"By Total","District of Columbia","Respiratory diseases","Chronic lower respiratory diseases",75-84,57,60
